"","IC","Model","N","J","TAU0","TAU1","G10","G20","p_choose"
"366","LOO",2,20,100,0.04,0.16,0.2,0.2,0
"367","DIC",3,20,100,0.04,0.16,0.2,0.2,0.31
"368","WAIC",3,20,100,0.04,0.16,0.2,0.2,0.19
"369","LOO",3,20,100,0.04,0.16,0.2,0.2,0.19
"370","DIC",4,20,100,0.04,0.16,0.2,0.2,0
"371","WAIC",4,20,100,0.04,0.16,0.2,0.2,0
"372","LOO",4,20,100,0.04,0.16,0.2,0.2,0
"373","DIC",5,20,100,0.04,0.16,0.2,0.2,0.23
"374","WAIC",5,20,100,0.04,0.16,0.2,0.2,0.15
"375","LOO",5,20,100,0.04,0.16,0.2,0.2,0.15
"376","DIC",1,50,100,0.04,0.16,0.2,0.2,0.49
"377","WAIC",1,50,100,0.04,0.16,0.2,0.2,0.67
"378","LOO",1,50,100,0.04,0.16,0.2,0.2,0.68
"379","DIC",2,50,100,0.04,0.16,0.2,0.2,0
"380","WAIC",2,50,100,0.04,0.16,0.2,0.2,0
"381","LOO",2,50,100,0.04,0.16,0.2,0.2,0
"382","DIC",3,50,100,0.04,0.16,0.2,0.2,0.22
"383","WAIC",3,50,100,0.04,0.16,0.2,0.2,0.09
"384","LOO",3,50,100,0.04,0.16,0.2,0.2,0.09
"385","DIC",4,50,100,0.04,0.16,0.2,0.2,0
"386","WAIC",4,50,100,0.04,0.16,0.2,0.2,0
"387","LOO",4,50,100,0.04,0.16,0.2,0.2,0
"388","DIC",5,50,100,0.04,0.16,0.2,0.2,0.29
"389","WAIC",5,50,100,0.04,0.16,0.2,0.2,0.24
"390","LOO",5,50,100,0.04,0.16,0.2,0.2,0.23
"391","DIC",1,70,100,0.04,0.16,0.2,0.2,0.41
"392","WAIC",1,70,100,0.04,0.16,0.2,0.2,0.68
"393","LOO",1,70,100,0.04,0.16,0.2,0.2,0.71
"394","DIC",2,70,100,0.04,0.16,0.2,0.2,0
"395","WAIC",2,70,100,0.04,0.16,0.2,0.2,0
"396","LOO",2,70,100,0.04,0.16,0.2,0.2,0
"397","DIC",3,70,100,0.04,0.16,0.2,0.2,0.35
"398","WAIC",3,70,100,0.04,0.16,0.2,0.2,0.18
"399","LOO",3,70,100,0.04,0.16,0.2,0.2,0.16
"400","DIC",4,70,100,0.04,0.16,0.2,0.2,0
"401","WAIC",4,70,100,0.04,0.16,0.2,0.2,0
"402","LOO",4,70,100,0.04,0.16,0.2,0.2,0
"403","DIC",5,70,100,0.04,0.16,0.2,0.2,0.24
"404","WAIC",5,70,100,0.04,0.16,0.2,0.2,0.14
"405","LOO",5,70,100,0.04,0.16,0.2,0.2,0.13
"406","DIC",1,20,10,0.16,0.16,0.2,0.2,0.58
"407","WAIC",1,20,10,0.16,0.16,0.2,0.2,0.58
"408","LOO",1,20,10,0.16,0.16,0.2,0.2,0.68
"409","DIC",2,20,10,0.16,0.16,0.2,0.2,0.01
"410","WAIC",2,20,10,0.16,0.16,0.2,0.2,0.01
"411","LOO",2,20,10,0.16,0.16,0.2,0.2,0.01
"412","DIC",3,20,10,0.16,0.16,0.2,0.2,0.26
"413","WAIC",3,20,10,0.16,0.16,0.2,0.2,0.25
"414","LOO",3,20,10,0.16,0.16,0.2,0.2,0.14
"415","DIC",4,20,10,0.16,0.16,0.2,0.2,0
"416","WAIC",4,20,10,0.16,0.16,0.2,0.2,0
"417","LOO",4,20,10,0.16,0.16,0.2,0.2,0.01
"418","DIC",5,20,10,0.16,0.16,0.2,0.2,0.15
"419","WAIC",5,20,10,0.16,0.16,0.2,0.2,0.16
"420","LOO",5,20,10,0.16,0.16,0.2,0.2,0.16
"421","DIC",1,50,10,0.16,0.16,0.2,0.2,0.49
"422","WAIC",1,50,10,0.16,0.16,0.2,0.2,0.5
"423","LOO",1,50,10,0.16,0.16,0.2,0.2,0.62
"424","DIC",2,50,10,0.16,0.16,0.2,0.2,0
"425","WAIC",2,50,10,0.16,0.16,0.2,0.2,0
"426","LOO",2,50,10,0.16,0.16,0.2,0.2,0
"427","DIC",3,50,10,0.16,0.16,0.2,0.2,0.3
"428","WAIC",3,50,10,0.16,0.16,0.2,0.2,0.29
"429","LOO",3,50,10,0.16,0.16,0.2,0.2,0.18
"430","DIC",4,50,10,0.16,0.16,0.2,0.2,0
"431","WAIC",4,50,10,0.16,0.16,0.2,0.2,0
"432","LOO",4,50,10,0.16,0.16,0.2,0.2,0
"433","DIC",5,50,10,0.16,0.16,0.2,0.2,0.21
"434","WAIC",5,50,10,0.16,0.16,0.2,0.2,0.21
"435","LOO",5,50,10,0.16,0.16,0.2,0.2,0.2
"436","DIC",1,70,10,0.16,0.16,0.2,0.2,0.56
"437","WAIC",1,70,10,0.16,0.16,0.2,0.2,0.59
"438","LOO",1,70,10,0.16,0.16,0.2,0.2,0.66
"439","DIC",2,70,10,0.16,0.16,0.2,0.2,0
"440","WAIC",2,70,10,0.16,0.16,0.2,0.2,0
"441","LOO",2,70,10,0.16,0.16,0.2,0.2,0
"442","DIC",3,70,10,0.16,0.16,0.2,0.2,0.2
"443","WAIC",3,70,10,0.16,0.16,0.2,0.2,0.21
"444","LOO",3,70,10,0.16,0.16,0.2,0.2,0.13
"445","DIC",4,70,10,0.16,0.16,0.2,0.2,0
"446","WAIC",4,70,10,0.16,0.16,0.2,0.2,0
"447","LOO",4,70,10,0.16,0.16,0.2,0.2,0
"448","DIC",5,70,10,0.16,0.16,0.2,0.2,0.24
"449","WAIC",5,70,10,0.16,0.16,0.2,0.2,0.2
"450","LOO",5,70,10,0.16,0.16,0.2,0.2,0.21
"451","DIC",1,20,50,0.16,0.16,0.2,0.2,0.51
"452","WAIC",1,20,50,0.16,0.16,0.2,0.2,0.7
"453","LOO",1,20,50,0.16,0.16,0.2,0.2,0.7
"454","DIC",2,20,50,0.16,0.16,0.2,0.2,0
"455","WAIC",2,20,50,0.16,0.16,0.2,0.2,0
"456","LOO",2,20,50,0.16,0.16,0.2,0.2,0
"457","DIC",3,20,50,0.16,0.16,0.2,0.2,0.25
"458","WAIC",3,20,50,0.16,0.16,0.2,0.2,0.16
"459","LOO",3,20,50,0.16,0.16,0.2,0.2,0.16
"460","DIC",4,20,50,0.16,0.16,0.2,0.2,0
"461","WAIC",4,20,50,0.16,0.16,0.2,0.2,0
"462","LOO",4,20,50,0.16,0.16,0.2,0.2,0
"463","DIC",5,20,50,0.16,0.16,0.2,0.2,0.24
"464","WAIC",5,20,50,0.16,0.16,0.2,0.2,0.14
"465","LOO",5,20,50,0.16,0.16,0.2,0.2,0.14
"466","DIC",1,50,50,0.16,0.16,0.2,0.2,0.48
"467","WAIC",1,50,50,0.16,0.16,0.2,0.2,0.71
"468","LOO",1,50,50,0.16,0.16,0.2,0.2,0.71
"469","DIC",2,50,50,0.16,0.16,0.2,0.2,0
"470","WAIC",2,50,50,0.16,0.16,0.2,0.2,0
"471","LOO",2,50,50,0.16,0.16,0.2,0.2,0
"472","DIC",3,50,50,0.16,0.16,0.2,0.2,0.21
"473","WAIC",3,50,50,0.16,0.16,0.2,0.2,0.12
"474","LOO",3,50,50,0.16,0.16,0.2,0.2,0.11
"475","DIC",4,50,50,0.16,0.16,0.2,0.2,0
"476","WAIC",4,50,50,0.16,0.16,0.2,0.2,0
"477","LOO",4,50,50,0.16,0.16,0.2,0.2,0
"478","DIC",5,50,50,0.16,0.16,0.2,0.2,0.31
"479","WAIC",5,50,50,0.16,0.16,0.2,0.2,0.17
"480","LOO",5,50,50,0.16,0.16,0.2,0.2,0.18
"481","DIC",1,70,50,0.16,0.16,0.2,0.2,0.49
"482","WAIC",1,70,50,0.16,0.16,0.2,0.2,0.6
"483","LOO",1,70,50,0.16,0.16,0.2,0.2,0.61
"484","DIC",2,70,50,0.16,0.16,0.2,0.2,0
"485","WAIC",2,70,50,0.16,0.16,0.2,0.2,0
"486","LOO",2,70,50,0.16,0.16,0.2,0.2,0
"487","DIC",3,70,50,0.16,0.16,0.2,0.2,0.2
"488","WAIC",3,70,50,0.16,0.16,0.2,0.2,0.15
"489","LOO",3,70,50,0.16,0.16,0.2,0.2,0.15
"490","DIC",4,70,50,0.16,0.16,0.2,0.2,0
"491","WAIC",4,70,50,0.16,0.16,0.2,0.2,0
"492","LOO",4,70,50,0.16,0.16,0.2,0.2,0
"493","DIC",5,70,50,0.16,0.16,0.2,0.2,0.31
"494","WAIC",5,70,50,0.16,0.16,0.2,0.2,0.25
"495","LOO",5,70,50,0.16,0.16,0.2,0.2,0.24
"496","DIC",1,20,100,0.16,0.16,0.2,0.2,0.55
"497","WAIC",1,20,100,0.16,0.16,0.2,0.2,0.72
"498","LOO",1,20,100,0.16,0.16,0.2,0.2,0.73
"499","DIC",2,20,100,0.16,0.16,0.2,0.2,0
"500","WAIC",2,20,100,0.16,0.16,0.2,0.2,0
"501","LOO",2,20,100,0.16,0.16,0.2,0.2,0
"502","DIC",3,20,100,0.16,0.16,0.2,0.2,0.21
"503","WAIC",3,20,100,0.16,0.16,0.2,0.2,0.14
"504","LOO",3,20,100,0.16,0.16,0.2,0.2,0.13
"505","DIC",4,20,100,0.16,0.16,0.2,0.2,0
"506","WAIC",4,20,100,0.16,0.16,0.2,0.2,0
"507","LOO",4,20,100,0.16,0.16,0.2,0.2,0
"508","DIC",5,20,100,0.16,0.16,0.2,0.2,0.24
"509","WAIC",5,20,100,0.16,0.16,0.2,0.2,0.14
"510","LOO",5,20,100,0.16,0.16,0.2,0.2,0.14
"511","DIC",1,50,100,0.16,0.16,0.2,0.2,0.42
"512","WAIC",1,50,100,0.16,0.16,0.2,0.2,0.62
"513","LOO",1,50,100,0.16,0.16,0.2,0.2,0.63
"514","DIC",2,50,100,0.16,0.16,0.2,0.2,0
"515","WAIC",2,50,100,0.16,0.16,0.2,0.2,0
"516","LOO",2,50,100,0.16,0.16,0.2,0.2,0
"517","DIC",3,50,100,0.16,0.16,0.2,0.2,0.29
"518","WAIC",3,50,100,0.16,0.16,0.2,0.2,0.16
"519","LOO",3,50,100,0.16,0.16,0.2,0.2,0.16
"520","DIC",4,50,100,0.16,0.16,0.2,0.2,0
"521","WAIC",4,50,100,0.16,0.16,0.2,0.2,0
"522","LOO",4,50,100,0.16,0.16,0.2,0.2,0
"523","DIC",5,50,100,0.16,0.16,0.2,0.2,0.29
"524","WAIC",5,50,100,0.16,0.16,0.2,0.2,0.22
"525","LOO",5,50,100,0.16,0.16,0.2,0.2,0.21
"526","DIC",1,70,100,0.16,0.16,0.2,0.2,0.46
"527","WAIC",1,70,100,0.16,0.16,0.2,0.2,0.58
"528","LOO",1,70,100,0.16,0.16,0.2,0.2,0.59
"529","DIC",2,70,100,0.16,0.16,0.2,0.2,0
"530","WAIC",2,70,100,0.16,0.16,0.2,0.2,0
"531","LOO",2,70,100,0.16,0.16,0.2,0.2,0
"532","DIC",3,70,100,0.16,0.16,0.2,0.2,0.26
"533","WAIC",3,70,100,0.16,0.16,0.2,0.2,0.12
"534","LOO",3,70,100,0.16,0.16,0.2,0.2,0.11
"535","DIC",4,70,100,0.16,0.16,0.2,0.2,0
"536","WAIC",4,70,100,0.16,0.16,0.2,0.2,0
"537","LOO",4,70,100,0.16,0.16,0.2,0.2,0
"538","DIC",5,70,100,0.16,0.16,0.2,0.2,0.28
"539","WAIC",5,70,100,0.16,0.16,0.2,0.2,0.3
"540","LOO",5,70,100,0.16,0.16,0.2,0.2,0.3
"541","DIC",1,20,10,0.04,0.04,0.4,0.2,0.43
"542","WAIC",1,20,10,0.04,0.04,0.4,0.2,0.35
"543","LOO",1,20,10,0.04,0.04,0.4,0.2,0.33
"544","DIC",2,20,10,0.04,0.04,0.4,0.2,0.24
"545","WAIC",2,20,10,0.04,0.04,0.4,0.2,0.35
"546","LOO",2,20,10,0.04,0.04,0.4,0.2,0.4
"547","DIC",3,20,10,0.04,0.04,0.4,0.2,0.18
"548","WAIC",3,20,10,0.04,0.04,0.4,0.2,0.15
"549","LOO",3,20,10,0.04,0.04,0.4,0.2,0.12
"550","DIC",4,20,10,0.04,0.04,0.4,0.2,0
"551","WAIC",4,20,10,0.04,0.04,0.4,0.2,0
"552","LOO",4,20,10,0.04,0.04,0.4,0.2,0
"553","DIC",5,20,10,0.04,0.04,0.4,0.2,0.15
"554","WAIC",5,20,10,0.04,0.04,0.4,0.2,0.15
"555","LOO",5,20,10,0.04,0.04,0.4,0.2,0.15
"556","DIC",1,50,10,0.04,0.04,0.4,0.2,0.46
"557","WAIC",1,50,10,0.04,0.04,0.4,0.2,0.42
"558","LOO",1,50,10,0.04,0.04,0.4,0.2,0.45
"559","DIC",2,50,10,0.04,0.04,0.4,0.2,0.09
"560","WAIC",2,50,10,0.04,0.04,0.4,0.2,0.12
"561","LOO",2,50,10,0.04,0.04,0.4,0.2,0.17
"562","DIC",3,50,10,0.04,0.04,0.4,0.2,0.28
"563","WAIC",3,50,10,0.04,0.04,0.4,0.2,0.31
"564","LOO",3,50,10,0.04,0.04,0.4,0.2,0.22
"565","DIC",4,50,10,0.04,0.04,0.4,0.2,0
"566","WAIC",4,50,10,0.04,0.04,0.4,0.2,0
"567","LOO",4,50,10,0.04,0.04,0.4,0.2,0
"568","DIC",5,50,10,0.04,0.04,0.4,0.2,0.17
"569","WAIC",5,50,10,0.04,0.04,0.4,0.2,0.15
"570","LOO",5,50,10,0.04,0.04,0.4,0.2,0.16
"571","DIC",1,70,10,0.04,0.04,0.4,0.2,0.42
"572","WAIC",1,70,10,0.04,0.04,0.4,0.2,0.5
"573","LOO",1,70,10,0.04,0.04,0.4,0.2,0.53
"574","DIC",2,70,10,0.04,0.04,0.4,0.2,0.04
"575","WAIC",2,70,10,0.04,0.04,0.4,0.2,0.05
"576","LOO",2,70,10,0.04,0.04,0.4,0.2,0.08
"577","DIC",3,70,10,0.04,0.04,0.4,0.2,0.3
"578","WAIC",3,70,10,0.04,0.04,0.4,0.2,0.27
"579","LOO",3,70,10,0.04,0.04,0.4,0.2,0.22
"580","DIC",4,70,10,0.04,0.04,0.4,0.2,0
"581","WAIC",4,70,10,0.04,0.04,0.4,0.2,0
"582","LOO",4,70,10,0.04,0.04,0.4,0.2,0
"583","DIC",5,70,10,0.04,0.04,0.4,0.2,0.24
"584","WAIC",5,70,10,0.04,0.04,0.4,0.2,0.18
"585","LOO",5,70,10,0.04,0.04,0.4,0.2,0.17
"586","DIC",1,20,50,0.04,0.04,0.4,0.2,0.57
"587","WAIC",1,20,50,0.04,0.04,0.4,0.2,0.64
"588","LOO",1,20,50,0.04,0.04,0.4,0.2,0.68
"589","DIC",2,20,50,0.04,0.04,0.4,0.2,0.01
"590","WAIC",2,20,50,0.04,0.04,0.4,0.2,0
"591","LOO",2,20,50,0.04,0.04,0.4,0.2,0
"592","DIC",3,20,50,0.04,0.04,0.4,0.2,0.21
"593","WAIC",3,20,50,0.04,0.04,0.4,0.2,0.21
"594","LOO",3,20,50,0.04,0.04,0.4,0.2,0.17
"595","DIC",4,20,50,0.04,0.04,0.4,0.2,0
"596","WAIC",4,20,50,0.04,0.04,0.4,0.2,0
"597","LOO",4,20,50,0.04,0.04,0.4,0.2,0
"598","DIC",5,20,50,0.04,0.04,0.4,0.2,0.21
"599","WAIC",5,20,50,0.04,0.04,0.4,0.2,0.15
"600","LOO",5,20,50,0.04,0.04,0.4,0.2,0.15
"601","DIC",1,50,50,0.04,0.04,0.4,0.2,0.5
"602","WAIC",1,50,50,0.04,0.04,0.4,0.2,0.71
"603","LOO",1,50,50,0.04,0.04,0.4,0.2,0.71
"604","DIC",2,50,50,0.04,0.04,0.4,0.2,0
"605","WAIC",2,50,50,0.04,0.04,0.4,0.2,0
"606","LOO",2,50,50,0.04,0.04,0.4,0.2,0
"607","DIC",3,50,50,0.04,0.04,0.4,0.2,0.22
"608","WAIC",3,50,50,0.04,0.04,0.4,0.2,0.11
"609","LOO",3,50,50,0.04,0.04,0.4,0.2,0.11
"610","DIC",4,50,50,0.04,0.04,0.4,0.2,0
"611","WAIC",4,50,50,0.04,0.04,0.4,0.2,0
"612","LOO",4,50,50,0.04,0.04,0.4,0.2,0
"613","DIC",5,50,50,0.04,0.04,0.4,0.2,0.28
"614","WAIC",5,50,50,0.04,0.04,0.4,0.2,0.18
"615","LOO",5,50,50,0.04,0.04,0.4,0.2,0.18
"616","DIC",1,70,50,0.04,0.04,0.4,0.2,0.43
"617","WAIC",1,70,50,0.04,0.04,0.4,0.2,0.63
"618","LOO",1,70,50,0.04,0.04,0.4,0.2,0.64
"619","DIC",2,70,50,0.04,0.04,0.4,0.2,0
"620","WAIC",2,70,50,0.04,0.04,0.4,0.2,0
"621","LOO",2,70,50,0.04,0.04,0.4,0.2,0
"622","DIC",3,70,50,0.04,0.04,0.4,0.2,0.31
"623","WAIC",3,70,50,0.04,0.04,0.4,0.2,0.17
"624","LOO",3,70,50,0.04,0.04,0.4,0.2,0.15
"625","DIC",4,70,50,0.04,0.04,0.4,0.2,0
"626","WAIC",4,70,50,0.04,0.04,0.4,0.2,0
"627","LOO",4,70,50,0.04,0.04,0.4,0.2,0
"628","DIC",5,70,50,0.04,0.04,0.4,0.2,0.26
"629","WAIC",5,70,50,0.04,0.04,0.4,0.2,0.2
"630","LOO",5,70,50,0.04,0.04,0.4,0.2,0.21
"631","DIC",1,20,100,0.04,0.04,0.4,0.2,0.6
"632","WAIC",1,20,100,0.04,0.04,0.4,0.2,0.75
"633","LOO",1,20,100,0.04,0.04,0.4,0.2,0.76
"634","DIC",2,20,100,0.04,0.04,0.4,0.2,0
"635","WAIC",2,20,100,0.04,0.04,0.4,0.2,0
"636","LOO",2,20,100,0.04,0.04,0.4,0.2,0
"637","DIC",3,20,100,0.04,0.04,0.4,0.2,0.18
"638","WAIC",3,20,100,0.04,0.04,0.4,0.2,0.1
"639","LOO",3,20,100,0.04,0.04,0.4,0.2,0.09
"640","DIC",4,20,100,0.04,0.04,0.4,0.2,0
"641","WAIC",4,20,100,0.04,0.04,0.4,0.2,0
"642","LOO",4,20,100,0.04,0.04,0.4,0.2,0
"643","DIC",5,20,100,0.04,0.04,0.4,0.2,0.22
"644","WAIC",5,20,100,0.04,0.04,0.4,0.2,0.15
"645","LOO",5,20,100,0.04,0.04,0.4,0.2,0.15
"646","DIC",1,50,100,0.04,0.04,0.4,0.2,0.43
"647","WAIC",1,50,100,0.04,0.04,0.4,0.2,0.73
"648","LOO",1,50,100,0.04,0.04,0.4,0.2,0.73
"649","DIC",2,50,100,0.04,0.04,0.4,0.2,0
"650","WAIC",2,50,100,0.04,0.04,0.4,0.2,0
"651","LOO",2,50,100,0.04,0.04,0.4,0.2,0
"652","DIC",3,50,100,0.04,0.04,0.4,0.2,0.25
"653","WAIC",3,50,100,0.04,0.04,0.4,0.2,0.09
"654","LOO",3,50,100,0.04,0.04,0.4,0.2,0.09
"655","DIC",4,50,100,0.04,0.04,0.4,0.2,0
"656","WAIC",4,50,100,0.04,0.04,0.4,0.2,0
"657","LOO",4,50,100,0.04,0.04,0.4,0.2,0
"658","DIC",5,50,100,0.04,0.04,0.4,0.2,0.32
"659","WAIC",5,50,100,0.04,0.04,0.4,0.2,0.18
"660","LOO",5,50,100,0.04,0.04,0.4,0.2,0.18
"661","DIC",1,70,100,0.04,0.04,0.4,0.2,0.41
"662","WAIC",1,70,100,0.04,0.04,0.4,0.2,0.59
"663","LOO",1,70,100,0.04,0.04,0.4,0.2,0.6
"664","DIC",2,70,100,0.04,0.04,0.4,0.2,0
"665","WAIC",2,70,100,0.04,0.04,0.4,0.2,0
"666","LOO",2,70,100,0.04,0.04,0.4,0.2,0
"667","DIC",3,70,100,0.04,0.04,0.4,0.2,0.28
"668","WAIC",3,70,100,0.04,0.04,0.4,0.2,0.22
"669","LOO",3,70,100,0.04,0.04,0.4,0.2,0.22
"670","DIC",4,70,100,0.04,0.04,0.4,0.2,0
"671","WAIC",4,70,100,0.04,0.04,0.4,0.2,0
"672","LOO",4,70,100,0.04,0.04,0.4,0.2,0
"673","DIC",5,70,100,0.04,0.04,0.4,0.2,0.31
"674","WAIC",5,70,100,0.04,0.04,0.4,0.2,0.19
"675","LOO",5,70,100,0.04,0.04,0.4,0.2,0.18
"676","DIC",1,20,10,0.16,0.04,0.4,0.2,0.4
"677","WAIC",1,20,10,0.16,0.04,0.4,0.2,0.43
"678","LOO",1,20,10,0.16,0.04,0.4,0.2,0.42
"679","DIC",2,20,10,0.16,0.04,0.4,0.2,0.23
"680","WAIC",2,20,10,0.16,0.04,0.4,0.2,0.28
"681","LOO",2,20,10,0.16,0.04,0.4,0.2,0.37
"682","DIC",3,20,10,0.16,0.04,0.4,0.2,0.23
"683","WAIC",3,20,10,0.16,0.04,0.4,0.2,0.17
"684","LOO",3,20,10,0.16,0.04,0.4,0.2,0.11
"685","DIC",4,20,10,0.16,0.04,0.4,0.2,0
"686","WAIC",4,20,10,0.16,0.04,0.4,0.2,0.01
"687","LOO",4,20,10,0.16,0.04,0.4,0.2,0.01
"688","DIC",5,20,10,0.16,0.04,0.4,0.2,0.14
"689","WAIC",5,20,10,0.16,0.04,0.4,0.2,0.11
"690","LOO",5,20,10,0.16,0.04,0.4,0.2,0.09
"691","DIC",1,50,10,0.16,0.04,0.4,0.2,0.35
"692","WAIC",1,50,10,0.16,0.04,0.4,0.2,0.37
"693","LOO",1,50,10,0.16,0.04,0.4,0.2,0.37
"694","DIC",2,50,10,0.16,0.04,0.4,0.2,0.09
"695","WAIC",2,50,10,0.16,0.04,0.4,0.2,0.15
"696","LOO",2,50,10,0.16,0.04,0.4,0.2,0.21
"697","DIC",3,50,10,0.16,0.04,0.4,0.2,0.37
"698","WAIC",3,50,10,0.16,0.04,0.4,0.2,0.3
"699","LOO",3,50,10,0.16,0.04,0.4,0.2,0.24
"700","DIC",4,50,10,0.16,0.04,0.4,0.2,0
"701","WAIC",4,50,10,0.16,0.04,0.4,0.2,0
"702","LOO",4,50,10,0.16,0.04,0.4,0.2,0
"703","DIC",5,50,10,0.16,0.04,0.4,0.2,0.19
"704","WAIC",5,50,10,0.16,0.04,0.4,0.2,0.18
"705","LOO",5,50,10,0.16,0.04,0.4,0.2,0.18
"706","DIC",1,70,10,0.16,0.04,0.4,0.2,0.49
"707","WAIC",1,70,10,0.16,0.04,0.4,0.2,0.59
"708","LOO",1,70,10,0.16,0.04,0.4,0.2,0.62
"709","DIC",2,70,10,0.16,0.04,0.4,0.2,0.01
"710","WAIC",2,70,10,0.16,0.04,0.4,0.2,0.01
"711","LOO",2,70,10,0.16,0.04,0.4,0.2,0.06
"712","DIC",3,70,10,0.16,0.04,0.4,0.2,0.37
"713","WAIC",3,70,10,0.16,0.04,0.4,0.2,0.25
"714","LOO",3,70,10,0.16,0.04,0.4,0.2,0.18
"715","DIC",4,70,10,0.16,0.04,0.4,0.2,0
"716","WAIC",4,70,10,0.16,0.04,0.4,0.2,0
"717","LOO",4,70,10,0.16,0.04,0.4,0.2,0
"718","DIC",5,70,10,0.16,0.04,0.4,0.2,0.13
"719","WAIC",5,70,10,0.16,0.04,0.4,0.2,0.15
"720","LOO",5,70,10,0.16,0.04,0.4,0.2,0.14
"721","DIC",1,20,50,0.16,0.04,0.4,0.2,0.53
"722","WAIC",1,20,50,0.16,0.04,0.4,0.2,0.7
"723","LOO",1,20,50,0.16,0.04,0.4,0.2,0.71
"724","DIC",2,20,50,0.16,0.04,0.4,0.2,0
"725","WAIC",2,20,50,0.16,0.04,0.4,0.2,0
"726","LOO",2,20,50,0.16,0.04,0.4,0.2,0
"727","DIC",3,20,50,0.16,0.04,0.4,0.2,0.24
"728","WAIC",3,20,50,0.16,0.04,0.4,0.2,0.15
