"","IC","Model","N","J","TAU0","TAU1","G10","G20","p_choose"
"1803","LOO",1,20,50,0.16,0.04,0.4,0.4,0.64
"1804","DIC",2,20,50,0.16,0.04,0.4,0.4,0.01
"1805","WAIC",2,20,50,0.16,0.04,0.4,0.4,0
"1806","LOO",2,20,50,0.16,0.04,0.4,0.4,0
"1807","DIC",3,20,50,0.16,0.04,0.4,0.4,0.22
"1808","WAIC",3,20,50,0.16,0.04,0.4,0.4,0.17
"1809","LOO",3,20,50,0.16,0.04,0.4,0.4,0.17
"1810","DIC",4,20,50,0.16,0.04,0.4,0.4,0
"1811","WAIC",4,20,50,0.16,0.04,0.4,0.4,0
"1812","LOO",4,20,50,0.16,0.04,0.4,0.4,0
"1813","DIC",5,20,50,0.16,0.04,0.4,0.4,0.15
"1814","WAIC",5,20,50,0.16,0.04,0.4,0.4,0.19
"1815","LOO",5,20,50,0.16,0.04,0.4,0.4,0.19
"1816","DIC",1,50,50,0.16,0.04,0.4,0.4,0.48
"1817","WAIC",1,50,50,0.16,0.04,0.4,0.4,0.63
"1818","LOO",1,50,50,0.16,0.04,0.4,0.4,0.64
"1819","DIC",2,50,50,0.16,0.04,0.4,0.4,0
"1820","WAIC",2,50,50,0.16,0.04,0.4,0.4,0
"1821","LOO",2,50,50,0.16,0.04,0.4,0.4,0
"1822","DIC",3,50,50,0.16,0.04,0.4,0.4,0.29
"1823","WAIC",3,50,50,0.16,0.04,0.4,0.4,0.19
"1824","LOO",3,50,50,0.16,0.04,0.4,0.4,0.17
"1825","DIC",4,50,50,0.16,0.04,0.4,0.4,0
"1826","WAIC",4,50,50,0.16,0.04,0.4,0.4,0
"1827","LOO",4,50,50,0.16,0.04,0.4,0.4,0
"1828","DIC",5,50,50,0.16,0.04,0.4,0.4,0.23
"1829","WAIC",5,50,50,0.16,0.04,0.4,0.4,0.18
"1830","LOO",5,50,50,0.16,0.04,0.4,0.4,0.19
"1831","DIC",1,70,50,0.16,0.04,0.4,0.4,0.47
"1832","WAIC",1,70,50,0.16,0.04,0.4,0.4,0.66
"1833","LOO",1,70,50,0.16,0.04,0.4,0.4,0.69
"1834","DIC",2,70,50,0.16,0.04,0.4,0.4,0
"1835","WAIC",2,70,50,0.16,0.04,0.4,0.4,0
"1836","LOO",2,70,50,0.16,0.04,0.4,0.4,0
"1837","DIC",3,70,50,0.16,0.04,0.4,0.4,0.24
"1838","WAIC",3,70,50,0.16,0.04,0.4,0.4,0.16
"1839","LOO",3,70,50,0.16,0.04,0.4,0.4,0.14
"1840","DIC",4,70,50,0.16,0.04,0.4,0.4,0
"1841","WAIC",4,70,50,0.16,0.04,0.4,0.4,0
"1842","LOO",4,70,50,0.16,0.04,0.4,0.4,0
"1843","DIC",5,70,50,0.16,0.04,0.4,0.4,0.29
"1844","WAIC",5,70,50,0.16,0.04,0.4,0.4,0.18
"1845","LOO",5,70,50,0.16,0.04,0.4,0.4,0.17
"1846","DIC",1,20,100,0.16,0.04,0.4,0.4,0.5
"1847","WAIC",1,20,100,0.16,0.04,0.4,0.4,0.71
"1848","LOO",1,20,100,0.16,0.04,0.4,0.4,0.71
"1849","DIC",2,20,100,0.16,0.04,0.4,0.4,0
"1850","WAIC",2,20,100,0.16,0.04,0.4,0.4,0
"1851","LOO",2,20,100,0.16,0.04,0.4,0.4,0
"1852","DIC",3,20,100,0.16,0.04,0.4,0.4,0.29
"1853","WAIC",3,20,100,0.16,0.04,0.4,0.4,0.16
"1854","LOO",3,20,100,0.16,0.04,0.4,0.4,0.15
"1855","DIC",4,20,100,0.16,0.04,0.4,0.4,0
"1856","WAIC",4,20,100,0.16,0.04,0.4,0.4,0
"1857","LOO",4,20,100,0.16,0.04,0.4,0.4,0
"1858","DIC",5,20,100,0.16,0.04,0.4,0.4,0.21
"1859","WAIC",5,20,100,0.16,0.04,0.4,0.4,0.13
"1860","LOO",5,20,100,0.16,0.04,0.4,0.4,0.14
"1861","DIC",1,50,100,0.16,0.04,0.4,0.4,0.41
"1862","WAIC",1,50,100,0.16,0.04,0.4,0.4,0.71
"1863","LOO",1,50,100,0.16,0.04,0.4,0.4,0.71
"1864","DIC",2,50,100,0.16,0.04,0.4,0.4,0
"1865","WAIC",2,50,100,0.16,0.04,0.4,0.4,0
"1866","LOO",2,50,100,0.16,0.04,0.4,0.4,0
"1867","DIC",3,50,100,0.16,0.04,0.4,0.4,0.29
"1868","WAIC",3,50,100,0.16,0.04,0.4,0.4,0.17
"1869","LOO",3,50,100,0.16,0.04,0.4,0.4,0.17
"1870","DIC",4,50,100,0.16,0.04,0.4,0.4,0
"1871","WAIC",4,50,100,0.16,0.04,0.4,0.4,0
"1872","LOO",4,50,100,0.16,0.04,0.4,0.4,0
"1873","DIC",5,50,100,0.16,0.04,0.4,0.4,0.3
"1874","WAIC",5,50,100,0.16,0.04,0.4,0.4,0.12
"1875","LOO",5,50,100,0.16,0.04,0.4,0.4,0.12
"1876","DIC",1,70,100,0.16,0.04,0.4,0.4,0.41
"1877","WAIC",1,70,100,0.16,0.04,0.4,0.4,0.54
"1878","LOO",1,70,100,0.16,0.04,0.4,0.4,0.54
"1879","DIC",2,70,100,0.16,0.04,0.4,0.4,0
"1880","WAIC",2,70,100,0.16,0.04,0.4,0.4,0
"1881","LOO",2,70,100,0.16,0.04,0.4,0.4,0
"1882","DIC",3,70,100,0.16,0.04,0.4,0.4,0.33
"1883","WAIC",3,70,100,0.16,0.04,0.4,0.4,0.27
"1884","LOO",3,70,100,0.16,0.04,0.4,0.4,0.27
"1885","DIC",4,70,100,0.16,0.04,0.4,0.4,0
"1886","WAIC",4,70,100,0.16,0.04,0.4,0.4,0
"1887","LOO",4,70,100,0.16,0.04,0.4,0.4,0
"1888","DIC",5,70,100,0.16,0.04,0.4,0.4,0.26
"1889","WAIC",5,70,100,0.16,0.04,0.4,0.4,0.19
"1890","LOO",5,70,100,0.16,0.04,0.4,0.4,0.19
"1891","DIC",1,20,10,0.04,0.16,0.4,0.4,0.63
"1892","WAIC",1,20,10,0.04,0.16,0.4,0.4,0.66
"1893","LOO",1,20,10,0.04,0.16,0.4,0.4,0.73
"1894","DIC",2,20,10,0.04,0.16,0.4,0.4,0
"1895","WAIC",2,20,10,0.04,0.16,0.4,0.4,0
"1896","LOO",2,20,10,0.04,0.16,0.4,0.4,0
"1897","DIC",3,20,10,0.04,0.16,0.4,0.4,0.23
"1898","WAIC",3,20,10,0.04,0.16,0.4,0.4,0.2
"1899","LOO",3,20,10,0.04,0.16,0.4,0.4,0.12
"1900","DIC",4,20,10,0.04,0.16,0.4,0.4,0
"1901","WAIC",4,20,10,0.04,0.16,0.4,0.4,0
"1902","LOO",4,20,10,0.04,0.16,0.4,0.4,0
"1903","DIC",5,20,10,0.04,0.16,0.4,0.4,0.14
"1904","WAIC",5,20,10,0.04,0.16,0.4,0.4,0.14
"1905","LOO",5,20,10,0.04,0.16,0.4,0.4,0.15
"1906","DIC",1,50,10,0.04,0.16,0.4,0.4,0.37
"1907","WAIC",1,50,10,0.04,0.16,0.4,0.4,0.42
"1908","LOO",1,50,10,0.04,0.16,0.4,0.4,0.52
"1909","DIC",2,50,10,0.04,0.16,0.4,0.4,0
"1910","WAIC",2,50,10,0.04,0.16,0.4,0.4,0
"1911","LOO",2,50,10,0.04,0.16,0.4,0.4,0
"1912","DIC",3,50,10,0.04,0.16,0.4,0.4,0.38
"1913","WAIC",3,50,10,0.04,0.16,0.4,0.4,0.33
"1914","LOO",3,50,10,0.04,0.16,0.4,0.4,0.23
"1915","DIC",4,50,10,0.04,0.16,0.4,0.4,0
"1916","WAIC",4,50,10,0.04,0.16,0.4,0.4,0
"1917","LOO",4,50,10,0.04,0.16,0.4,0.4,0
"1918","DIC",5,50,10,0.04,0.16,0.4,0.4,0.25
"1919","WAIC",5,50,10,0.04,0.16,0.4,0.4,0.25
"1920","LOO",5,50,10,0.04,0.16,0.4,0.4,0.25
"1921","DIC",1,70,10,0.04,0.16,0.4,0.4,0.46
"1922","WAIC",1,70,10,0.04,0.16,0.4,0.4,0.58
"1923","LOO",1,70,10,0.04,0.16,0.4,0.4,0.61
"1924","DIC",2,70,10,0.04,0.16,0.4,0.4,0
"1925","WAIC",2,70,10,0.04,0.16,0.4,0.4,0
"1926","LOO",2,70,10,0.04,0.16,0.4,0.4,0
"1927","DIC",3,70,10,0.04,0.16,0.4,0.4,0.3
"1928","WAIC",3,70,10,0.04,0.16,0.4,0.4,0.22
"1929","LOO",3,70,10,0.04,0.16,0.4,0.4,0.19
"1930","DIC",4,70,10,0.04,0.16,0.4,0.4,0
"1931","WAIC",4,70,10,0.04,0.16,0.4,0.4,0
"1932","LOO",4,70,10,0.04,0.16,0.4,0.4,0
"1933","DIC",5,70,10,0.04,0.16,0.4,0.4,0.24
"1934","WAIC",5,70,10,0.04,0.16,0.4,0.4,0.2
"1935","LOO",5,70,10,0.04,0.16,0.4,0.4,0.2
"1936","DIC",1,20,50,0.04,0.16,0.4,0.4,0.56
"1937","WAIC",1,20,50,0.04,0.16,0.4,0.4,0.7
"1938","LOO",1,20,50,0.04,0.16,0.4,0.4,0.7
"1939","DIC",2,20,50,0.04,0.16,0.4,0.4,0
"1940","WAIC",2,20,50,0.04,0.16,0.4,0.4,0
"1941","LOO",2,20,50,0.04,0.16,0.4,0.4,0
"1942","DIC",3,20,50,0.04,0.16,0.4,0.4,0.24
"1943","WAIC",3,20,50,0.04,0.16,0.4,0.4,0.17
"1944","LOO",3,20,50,0.04,0.16,0.4,0.4,0.17
"1945","DIC",4,20,50,0.04,0.16,0.4,0.4,0
"1946","WAIC",4,20,50,0.04,0.16,0.4,0.4,0
"1947","LOO",4,20,50,0.04,0.16,0.4,0.4,0
"1948","DIC",5,20,50,0.04,0.16,0.4,0.4,0.2
"1949","WAIC",5,20,50,0.04,0.16,0.4,0.4,0.13
"1950","LOO",5,20,50,0.04,0.16,0.4,0.4,0.13
"1951","DIC",1,50,50,0.04,0.16,0.4,0.4,0.49
"1952","WAIC",1,50,50,0.04,0.16,0.4,0.4,0.69
"1953","LOO",1,50,50,0.04,0.16,0.4,0.4,0.69
"1954","DIC",2,50,50,0.04,0.16,0.4,0.4,0
"1955","WAIC",2,50,50,0.04,0.16,0.4,0.4,0
"1956","LOO",2,50,50,0.04,0.16,0.4,0.4,0
"1957","DIC",3,50,50,0.04,0.16,0.4,0.4,0.21
"1958","WAIC",3,50,50,0.04,0.16,0.4,0.4,0.13
"1959","LOO",3,50,50,0.04,0.16,0.4,0.4,0.13
"1960","DIC",4,50,50,0.04,0.16,0.4,0.4,0
"1961","WAIC",4,50,50,0.04,0.16,0.4,0.4,0
"1962","LOO",4,50,50,0.04,0.16,0.4,0.4,0
"1963","DIC",5,50,50,0.04,0.16,0.4,0.4,0.3
"1964","WAIC",5,50,50,0.04,0.16,0.4,0.4,0.18
"1965","LOO",5,50,50,0.04,0.16,0.4,0.4,0.18
"1966","DIC",1,70,50,0.04,0.16,0.4,0.4,0.46
"1967","WAIC",1,70,50,0.04,0.16,0.4,0.4,0.65
"1968","LOO",1,70,50,0.04,0.16,0.4,0.4,0.64
"1969","DIC",2,70,50,0.04,0.16,0.4,0.4,0
"1970","WAIC",2,70,50,0.04,0.16,0.4,0.4,0
"1971","LOO",2,70,50,0.04,0.16,0.4,0.4,0
"1972","DIC",3,70,50,0.04,0.16,0.4,0.4,0.24
"1973","WAIC",3,70,50,0.04,0.16,0.4,0.4,0.21
"1974","LOO",3,70,50,0.04,0.16,0.4,0.4,0.18
"1975","DIC",4,70,50,0.04,0.16,0.4,0.4,0
"1976","WAIC",4,70,50,0.04,0.16,0.4,0.4,0
"1977","LOO",4,70,50,0.04,0.16,0.4,0.4,0
"1978","DIC",5,70,50,0.04,0.16,0.4,0.4,0.3
"1979","WAIC",5,70,50,0.04,0.16,0.4,0.4,0.14
"1980","LOO",5,70,50,0.04,0.16,0.4,0.4,0.18
"1981","DIC",1,20,100,0.04,0.16,0.4,0.4,0.55
"1982","WAIC",1,20,100,0.04,0.16,0.4,0.4,0.76
"1983","LOO",1,20,100,0.04,0.16,0.4,0.4,0.79
"1984","DIC",2,20,100,0.04,0.16,0.4,0.4,0
"1985","WAIC",2,20,100,0.04,0.16,0.4,0.4,0
"1986","LOO",2,20,100,0.04,0.16,0.4,0.4,0
"1987","DIC",3,20,100,0.04,0.16,0.4,0.4,0.26
"1988","WAIC",3,20,100,0.04,0.16,0.4,0.4,0.15
"1989","LOO",3,20,100,0.04,0.16,0.4,0.4,0.12
"1990","DIC",4,20,100,0.04,0.16,0.4,0.4,0
"1991","WAIC",4,20,100,0.04,0.16,0.4,0.4,0
"1992","LOO",4,20,100,0.04,0.16,0.4,0.4,0
"1993","DIC",5,20,100,0.04,0.16,0.4,0.4,0.19
"1994","WAIC",5,20,100,0.04,0.16,0.4,0.4,0.09
"1995","LOO",5,20,100,0.04,0.16,0.4,0.4,0.09
"1996","DIC",1,50,100,0.04,0.16,0.4,0.4,0.46
"1997","WAIC",1,50,100,0.04,0.16,0.4,0.4,0.63
"1998","LOO",1,50,100,0.04,0.16,0.4,0.4,0.63
"1999","DIC",2,50,100,0.04,0.16,0.4,0.4,0
"2000","WAIC",2,50,100,0.04,0.16,0.4,0.4,0
"2001","LOO",2,50,100,0.04,0.16,0.4,0.4,0
"2002","DIC",3,50,100,0.04,0.16,0.4,0.4,0.29
"2003","WAIC",3,50,100,0.04,0.16,0.4,0.4,0.18
"2004","LOO",3,50,100,0.04,0.16,0.4,0.4,0.18
"2005","DIC",4,50,100,0.04,0.16,0.4,0.4,0
"2006","WAIC",4,50,100,0.04,0.16,0.4,0.4,0
"2007","LOO",4,50,100,0.04,0.16,0.4,0.4,0
"2008","DIC",5,50,100,0.04,0.16,0.4,0.4,0.25
"2009","WAIC",5,50,100,0.04,0.16,0.4,0.4,0.19
"2010","LOO",5,50,100,0.04,0.16,0.4,0.4,0.19
"2011","DIC",1,70,100,0.04,0.16,0.4,0.4,0.41
"2012","WAIC",1,70,100,0.04,0.16,0.4,0.4,0.59
"2013","LOO",1,70,100,0.04,0.16,0.4,0.4,0.6
"2014","DIC",2,70,100,0.04,0.16,0.4,0.4,0
"2015","WAIC",2,70,100,0.04,0.16,0.4,0.4,0
"2016","LOO",2,70,100,0.04,0.16,0.4,0.4,0
"2017","DIC",3,70,100,0.04,0.16,0.4,0.4,0.26
"2018","WAIC",3,70,100,0.04,0.16,0.4,0.4,0.23
"2019","LOO",3,70,100,0.04,0.16,0.4,0.4,0.21
"2020","DIC",4,70,100,0.04,0.16,0.4,0.4,0
"2021","WAIC",4,70,100,0.04,0.16,0.4,0.4,0
"2022","LOO",4,70,100,0.04,0.16,0.4,0.4,0
"2023","DIC",5,70,100,0.04,0.16,0.4,0.4,0.33
"2024","WAIC",5,70,100,0.04,0.16,0.4,0.4,0.18
"2025","LOO",5,70,100,0.04,0.16,0.4,0.4,0.19
"2026","DIC",1,20,10,0.16,0.16,0.4,0.4,0.54
"2027","WAIC",1,20,10,0.16,0.16,0.4,0.4,0.52
"2028","LOO",1,20,10,0.16,0.16,0.4,0.4,0.62
"2029","DIC",2,20,10,0.16,0.16,0.4,0.4,0
"2030","WAIC",2,20,10,0.16,0.16,0.4,0.4,0
"2031","LOO",2,20,10,0.16,0.16,0.4,0.4,0
"2032","DIC",3,20,10,0.16,0.16,0.4,0.4,0.33
"2033","WAIC",3,20,10,0.16,0.16,0.4,0.4,0.35
"2034","LOO",3,20,10,0.16,0.16,0.4,0.4,0.24
"2035","DIC",4,20,10,0.16,0.16,0.4,0.4,0
"2036","WAIC",4,20,10,0.16,0.16,0.4,0.4,0
"2037","LOO",4,20,10,0.16,0.16,0.4,0.4,0
"2038","DIC",5,20,10,0.16,0.16,0.4,0.4,0.13
"2039","WAIC",5,20,10,0.16,0.16,0.4,0.4,0.13
"2040","LOO",5,20,10,0.16,0.16,0.4,0.4,0.14
"2041","DIC",1,50,10,0.16,0.16,0.4,0.4,0.51
"2042","WAIC",1,50,10,0.16,0.16,0.4,0.4,0.57
"2043","LOO",1,50,10,0.16,0.16,0.4,0.4,0.6
"2044","DIC",2,50,10,0.16,0.16,0.4,0.4,0
"2045","WAIC",2,50,10,0.16,0.16,0.4,0.4,0
"2046","LOO",2,50,10,0.16,0.16,0.4,0.4,0
"2047","DIC",3,50,10,0.16,0.16,0.4,0.4,0.28
"2048","WAIC",3,50,10,0.16,0.16,0.4,0.4,0.25
"2049","LOO",3,50,10,0.16,0.16,0.4,0.4,0.21
"2050","DIC",4,50,10,0.16,0.16,0.4,0.4,0
"2051","WAIC",4,50,10,0.16,0.16,0.4,0.4,0
"2052","LOO",4,50,10,0.16,0.16,0.4,0.4,0
"2053","DIC",5,50,10,0.16,0.16,0.4,0.4,0.21
"2054","WAIC",5,50,10,0.16,0.16,0.4,0.4,0.18
"2055","LOO",5,50,10,0.16,0.16,0.4,0.4,0.19
"2056","DIC",1,70,10,0.16,0.16,0.4,0.4,0.46
"2057","WAIC",1,70,10,0.16,0.16,0.4,0.4,0.49
"2058","LOO",1,70,10,0.16,0.16,0.4,0.4,0.52
"2059","DIC",2,70,10,0.16,0.16,0.4,0.4,0
"2060","WAIC",2,70,10,0.16,0.16,0.4,0.4,0
"2061","LOO",2,70,10,0.16,0.16,0.4,0.4,0
"2062","DIC",3,70,10,0.16,0.16,0.4,0.4,0.33
"2063","WAIC",3,70,10,0.16,0.16,0.4,0.4,0.26
"2064","LOO",3,70,10,0.16,0.16,0.4,0.4,0.2
"2065","DIC",4,70,10,0.16,0.16,0.4,0.4,0
"2066","WAIC",4,70,10,0.16,0.16,0.4,0.4,0
"2067","LOO",4,70,10,0.16,0.16,0.4,0.4,0
"2068","DIC",5,70,10,0.16,0.16,0.4,0.4,0.21
"2069","WAIC",5,70,10,0.16,0.16,0.4,0.4,0.25
"2070","LOO",5,70,10,0.16,0.16,0.4,0.4,0.28
"2071","DIC",1,20,50,0.16,0.16,0.4,0.4,0.59
"2072","WAIC",1,20,50,0.16,0.16,0.4,0.4,0.67
"2073","LOO",1,20,50,0.16,0.16,0.4,0.4,0.7
"2074","DIC",2,20,50,0.16,0.16,0.4,0.4,0
"2075","WAIC",2,20,50,0.16,0.16,0.4,0.4,0
"2076","LOO",2,20,50,0.16,0.16,0.4,0.4,0
"2077","DIC",3,20,50,0.16,0.16,0.4,0.4,0.19
"2078","WAIC",3,20,50,0.16,0.16,0.4,0.4,0.17
"2079","LOO",3,20,50,0.16,0.16,0.4,0.4,0.14
"2080","DIC",4,20,50,0.16,0.16,0.4,0.4,0
"2081","WAIC",4,20,50,0.16,0.16,0.4,0.4,0
"2082","LOO",4,20,50,0.16,0.16,0.4,0.4,0
"2083","DIC",5,20,50,0.16,0.16,0.4,0.4,0.22
"2084","WAIC",5,20,50,0.16,0.16,0.4,0.4,0.16
"2085","LOO",5,20,50,0.16,0.16,0.4,0.4,0.16
"2086","DIC",1,50,50,0.16,0.16,0.4,0.4,0.54
"2087","WAIC",1,50,50,0.16,0.16,0.4,0.4,0.69
"2088","LOO",1,50,50,0.16,0.16,0.4,0.4,0.72
"2089","DIC",2,50,50,0.16,0.16,0.4,0.4,0
"2090","WAIC",2,50,50,0.16,0.16,0.4,0.4,0
"2091","LOO",2,50,50,0.16,0.16,0.4,0.4,0
"2092","DIC",3,50,50,0.16,0.16,0.4,0.4,0.27
"2093","WAIC",3,50,50,0.16,0.16,0.4,0.4,0.13
"2094","LOO",3,50,50,0.16,0.16,0.4,0.4,0.11
"2095","DIC",4,50,50,0.16,0.16,0.4,0.4,0
"2096","WAIC",4,50,50,0.16,0.16,0.4,0.4,0
"2097","LOO",4,50,50,0.16,0.16,0.4,0.4,0
"2098","DIC",5,50,50,0.16,0.16,0.4,0.4,0.19
"2099","WAIC",5,50,50,0.16,0.16,0.4,0.4,0.18
"2100","LOO",5,50,50,0.16,0.16,0.4,0.4,0.17
"2101","DIC",1,70,50,0.16,0.16,0.4,0.4,0.42
"2102","WAIC",1,70,50,0.16,0.16,0.4,0.4,0.62
"2103","LOO",1,70,50,0.16,0.16,0.4,0.4,0.64
"2104","DIC",2,70,50,0.16,0.16,0.4,0.4,0
"2105","WAIC",2,70,50,0.16,0.16,0.4,0.4,0
"2106","LOO",2,70,50,0.16,0.16,0.4,0.4,0
"2107","DIC",3,70,50,0.16,0.16,0.4,0.4,0.31
"2108","WAIC",3,70,50,0.16,0.16,0.4,0.4,0.16
"2109","LOO",3,70,50,0.16,0.16,0.4,0.4,0.14
"2110","DIC",4,70,50,0.16,0.16,0.4,0.4,0
"2111","WAIC",4,70,50,0.16,0.16,0.4,0.4,0
"2112","LOO",4,70,50,0.16,0.16,0.4,0.4,0
"2113","DIC",5,70,50,0.16,0.16,0.4,0.4,0.27
"2114","WAIC",5,70,50,0.16,0.16,0.4,0.4,0.22
"2115","LOO",5,70,50,0.16,0.16,0.4,0.4,0.22
"2116","DIC",1,20,100,0.16,0.16,0.4,0.4,0.43
"2117","WAIC",1,20,100,0.16,0.16,0.4,0.4,0.67
"2118","LOO",1,20,100,0.16,0.16,0.4,0.4,0.69
"2119","DIC",2,20,100,0.16,0.16,0.4,0.4,0
"2120","WAIC",2,20,100,0.16,0.16,0.4,0.4,0
"2121","LOO",2,20,100,0.16,0.16,0.4,0.4,0
"2122","DIC",3,20,100,0.16,0.16,0.4,0.4,0.29
"2123","WAIC",3,20,100,0.16,0.16,0.4,0.4,0.19
"2124","LOO",3,20,100,0.16,0.16,0.4,0.4,0.16
"2125","DIC",4,20,100,0.16,0.16,0.4,0.4,0
"2126","WAIC",4,20,100,0.16,0.16,0.4,0.4,0
"2127","LOO",4,20,100,0.16,0.16,0.4,0.4,0
"2128","DIC",5,20,100,0.16,0.16,0.4,0.4,0.28
"2129","WAIC",5,20,100,0.16,0.16,0.4,0.4,0.14
"2130","LOO",5,20,100,0.16,0.16,0.4,0.4,0.15
"2131","DIC",1,50,100,0.16,0.16,0.4,0.4,0.43
"2132","WAIC",1,50,100,0.16,0.16,0.4,0.4,0.55
"2133","LOO",1,50,100,0.16,0.16,0.4,0.4,0.56
"2134","DIC",2,50,100,0.16,0.16,0.4,0.4,0
"2135","WAIC",2,50,100,0.16,0.16,0.4,0.4,0
"2136","LOO",2,50,100,0.16,0.16,0.4,0.4,0
"2137","DIC",3,50,100,0.16,0.16,0.4,0.4,0.37
"2138","WAIC",3,50,100,0.16,0.16,0.4,0.4,0.27
"2139","LOO",3,50,100,0.16,0.16,0.4,0.4,0.26
"2140","DIC",4,50,100,0.16,0.16,0.4,0.4,0
"2141","WAIC",4,50,100,0.16,0.16,0.4,0.4,0
"2142","LOO",4,50,100,0.16,0.16,0.4,0.4,0
"2143","DIC",5,50,100,0.16,0.16,0.4,0.4,0.2
"2144","WAIC",5,50,100,0.16,0.16,0.4,0.4,0.18
"2145","LOO",5,50,100,0.16,0.16,0.4,0.4,0.18
"2146","DIC",1,70,100,0.16,0.16,0.4,0.4,0.39
"2147","WAIC",1,70,100,0.16,0.16,0.4,0.4,0.62
"2148","LOO",1,70,100,0.16,0.16,0.4,0.4,0.62
"2149","DIC",2,70,100,0.16,0.16,0.4,0.4,0
"2150","WAIC",2,70,100,0.16,0.16,0.4,0.4,0
"2151","LOO",2,70,100,0.16,0.16,0.4,0.4,0
"2152","DIC",3,70,100,0.16,0.16,0.4,0.4,0.26
"2153","WAIC",3,70,100,0.16,0.16,0.4,0.4,0.13
"2154","LOO",3,70,100,0.16,0.16,0.4,0.4,0.13
"2155","DIC",4,70,100,0.16,0.16,0.4,0.4,0
"2156","WAIC",4,70,100,0.16,0.16,0.4,0.4,0
"2157","LOO",4,70,100,0.16,0.16,0.4,0.4,0
"2158","DIC",5,70,100,0.16,0.16,0.4,0.4,0.35
"2159","WAIC",5,70,100,0.16,0.16,0.4,0.4,0.25
"2160","LOO",5,70,100,0.16,0.16,0.4,0.4,0.25
