"","N","J","G00","TAU0","G10","TAU1","G20","TAU2","G30","TAU3","RHO01","RHO02","RHO12","X1_mu","X2_mu","X3_mu","X1_sd","X2_sd","X3_sd","S","nchain","niter","burn","thin","marg","SIG2","Y.fixed","Y.rand","Y.int","Y.e","varY"
"144",70,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.36,0.32,0.16,0.16,0.36,1
"145",20,10,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"146",50,10,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"147",70,10,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"148",20,50,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"149",50,50,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"150",70,50,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"151",20,100,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"152",50,100,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"153",70,100,1,0.04,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.84,0.08,0.04,0.04,0.84,1
"154",20,10,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
"155",50,10,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
"156",70,10,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
"157",20,50,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
"158",50,50,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
"159",70,50,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
"160",20,100,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
"161",50,100,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
"162",70,100,1,0.16,0.2,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.04,0.16,0.72,1
"163",20,10,1,0.04,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"164",50,10,1,0.04,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"165",70,10,1,0.04,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"166",20,50,1,0.04,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"167",50,50,1,0.04,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"168",70,50,1,0.04,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"169",20,100,1,0.04,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"170",50,100,1,0.04,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"171",70,100,1,0.04,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"172",20,10,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"173",50,10,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"174",70,10,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"175",20,50,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"176",50,50,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"177",70,50,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"178",20,100,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"179",50,100,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"180",70,100,1,0.16,0.4,0.04,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"181",20,10,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.16,0.04,0.72,1
"182",50,10,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.16,0.04,0.72,1
"183",70,10,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.16,0.04,0.72,1
"184",20,50,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.16,0.04,0.72,1
"185",50,50,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.16,0.04,0.72,1
"186",70,50,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.16,0.04,0.72,1
"187",20,100,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.16,0.04,0.72,1
"188",50,100,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.16,0.04,0.72,1
"189",70,100,1,0.04,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.08,0.16,0.04,0.72,1
"190",20,10,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.08,0.16,0.16,0.6,1
"191",50,10,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.08,0.16,0.16,0.6,1
"192",70,10,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.08,0.16,0.16,0.6,1
"193",20,50,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.08,0.16,0.16,0.6,1
"194",50,50,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.08,0.16,0.16,0.6,1
"195",70,50,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.08,0.16,0.16,0.6,1
"196",20,100,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.08,0.16,0.16,0.6,1
"197",50,100,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.08,0.16,0.16,0.6,1
"198",70,100,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.08,0.16,0.16,0.6,1
"199",20,10,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"200",50,10,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"201",70,10,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"202",20,50,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"203",50,50,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"204",70,50,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"205",20,100,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"206",50,100,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"207",70,100,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"208",20,10,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"209",50,10,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"210",70,10,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"211",20,50,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"212",50,50,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"213",70,50,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"214",20,100,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"215",50,100,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"216",70,100,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"217",20,10,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"218",50,10,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"219",70,10,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"220",20,50,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"221",50,50,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"222",70,50,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"223",20,100,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"224",50,100,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"225",70,100,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.72,0.2,0.04,0.04,0.72,1
"226",20,10,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"227",50,10,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"228",70,10,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"229",20,50,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"230",50,50,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"231",70,50,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"232",20,100,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"233",50,100,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"234",70,100,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.04,0.16,0.6,1
"235",20,10,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.32,0.04,0.04,0.6,1
"236",50,10,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.32,0.04,0.04,0.6,1
"237",70,10,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.32,0.04,0.04,0.6,1
"238",20,50,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.32,0.04,0.04,0.6,1
"239",50,50,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.32,0.04,0.04,0.6,1
"240",70,50,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.32,0.04,0.04,0.6,1
"241",20,100,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.32,0.04,0.04,0.6,1
"242",50,100,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.32,0.04,0.04,0.6,1
"243",70,100,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.32,0.04,0.04,0.6,1
"244",20,10,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.04,0.16,0.48,1
"245",50,10,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.04,0.16,0.48,1
"246",70,10,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.04,0.16,0.48,1
"247",20,50,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.04,0.16,0.48,1
"248",50,50,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.04,0.16,0.48,1
"249",70,50,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.04,0.16,0.48,1
"250",20,100,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.04,0.16,0.48,1
"251",50,100,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.04,0.16,0.48,1
"252",70,100,1,0.16,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.04,0.16,0.48,1
"253",20,10,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"254",50,10,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"255",70,10,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"256",20,50,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"257",50,50,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"258",70,50,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"259",20,100,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"260",50,100,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"261",70,100,1,0.04,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.6,0.2,0.16,0.04,0.6,1
"262",20,10,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"263",50,10,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"264",70,10,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"265",20,50,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"266",50,50,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"267",70,50,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"268",20,100,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"269",50,100,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"270",70,100,1,0.16,0.2,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.2,0.16,0.16,0.48,1
"271",20,10,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.16,0.04,0.48,1
"272",50,10,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.16,0.04,0.48,1
"273",70,10,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.16,0.04,0.48,1
"274",20,50,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.16,0.04,0.48,1
"275",50,50,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.16,0.04,0.48,1
"276",70,50,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.16,0.04,0.48,1
"277",20,100,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.16,0.04,0.48,1
"278",50,100,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.16,0.04,0.48,1
"279",70,100,1,0.04,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.48,0.32,0.16,0.04,0.48,1
"280",20,10,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36,0.32,0.16,0.16,0.36,1
"281",50,10,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36,0.32,0.16,0.16,0.36,1
"282",70,10,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36,0.32,0.16,0.16,0.36,1
"283",20,50,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36,0.32,0.16,0.16,0.36,1
"284",50,50,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36,0.32,0.16,0.16,0.36,1
"285",70,50,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36,0.32,0.16,0.16,0.36,1
"286",20,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36,0.32,0.16,0.16,0.36,1
"287",50,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36,0.32,0.16,0.16,0.36,1
"288",70,100,1,0.16,0.4,0.16,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,1,0.36,0.32,0.16,0.16,0.36,1
